iri,equivalent_class
TBD:0000427,DOID:0050737
TBD:0000428,DOID:0050738
TBD:0000429,DOID:0050739
TBD:0000430,DOID:0050743
TBD:0000431,DOID:0050746
TBD:0000432,DOID:0050747
TBD:0000433,DOID:0050748
TBD:0000434,DOID:0050749
TBD:0000435,DOID:0050750
TBD:0000436,DOID:0050751
TBD:0000437,DOID:0050753
TBD:0000438,DOID:0050755
TBD:0000439,DOID:0050756
TBD:0000440,DOID:0050758
TBD:0000441,DOID:0050760
TBD:0000442,DOID:0050761
TBD:0000443,DOID:0050762
TBD:0000444,DOID:0050763
TBD:0000445,DOID:0050765
TBD:0000446,DOID:0050767
TBD:0000447,DOID:0050770
TBD:0000448,DOID:0050773
TBD:0000449,DOID:0050780
TBD:0000450,DOID:0050783
TBD:0000451,DOID:0050784
TBD:0000452,DOID:0050785
TBD:0000453,DOID:0050793
TBD:0000454,DOID:0050794
TBD:0000455,DOID:0050795
TBD:0000456,DOID:0050798
TBD:0000457,DOID:0050803
TBD:0000458,DOID:0050804
TBD:0000459,DOID:0050805
TBD:0000460,DOID:0050806
TBD:0000461,DOID:0050810
TBD:0000462,DOID:0050815
TBD:0000463,DOID:0050816
TBD:0000464,DOID:0050817
TBD:0000465,DOID:0050820
TBD:0000466,DOID:0050821
TBD:0000467,DOID:0050822
TBD:0000468,DOID:0050823
TBD:0000469,DOID:0050824
TBD:0000470,DOID:0050825
TBD:0000471,DOID:0050826
TBD:0000472,DOID:0050827
TBD:0000473,DOID:0050828
TBD:0000474,DOID:0050829
TBD:0000475,DOID:0050832
TBD:0000476,DOID:0050835
TBD:0000477,DOID:0050836
TBD:0000478,DOID:0050837
TBD:0000479,DOID:0050838
TBD:0000480,DOID:0050839
TBD:0000481,DOID:0050840
TBD:0000482,DOID:0050841
TBD:0000483,DOID:0050842
TBD:0000484,DOID:0050843
TBD:0000485,DOID:0050844
TBD:0000486,DOID:0050845
TBD:0000487,DOID:0050846
TBD:0000488,DOID:0050849
TBD:0000489,DOID:0050850
TBD:0000490,DOID:0050851
TBD:0000491,DOID:0050852
TBD:0000492,DOID:0050853
TBD:0000493,DOID:0050854
TBD:0000494,DOID:0050855
TBD:0000495,DOID:0050856
TBD:0000496,DOID:0050859
TBD:0000497,DOID:0050862
TBD:0000498,DOID:0050863
TBD:0000499,DOID:0050864
TBD:0000500,DOID:0050865
TBD:0000501,DOID:0050867
TBD:0000502,DOID:0050869
TBD:0000503,DOID:0050870
TBD:0000504,DOID:0050873
TBD:0000505,DOID:0050875
TBD:0000506,DOID:0050876
TBD:0000507,DOID:0050881
TBD:0000508,DOID:0050888
TBD:0000509,DOID:0050889
TBD:0000510,DOID:0050890
TBD:0000511,DOID:0050893
TBD:0000512,DOID:0050894
TBD:0000513,DOID:0050895
TBD:0000514,DOID:0050896
TBD:0000515,DOID:0050897
TBD:0000516,DOID:0050898
TBD:0000517,DOID:0050899
TBD:0000518,DOID:0050900
TBD:0000519,DOID:0050901
TBD:0000520,DOID:0050903
TBD:0000521,DOID:0050904
TBD:0000522,DOID:0050905
TBD:0000523,DOID:0050906
TBD:0000524,DOID:0050907
TBD:0000525,DOID:0050910
TBD:0000526,DOID:0050911
TBD:0000527,DOID:0050912
TBD:0000528,DOID:0050913
TBD:0000529,DOID:0050914
TBD:0000530,DOID:0050915
TBD:0000531,DOID:0050916
TBD:0000532,DOID:0050917
TBD:0000533,DOID:0050918
TBD:0000534,DOID:0050919
TBD:0000535,DOID:0050920
TBD:0000536,DOID:0050921
TBD:0000537,DOID:0050922
TBD:0000538,DOID:0050923
TBD:0000539,DOID:0050924
TBD:0000540,DOID:0050925
TBD:0000541,DOID:0050926
TBD:0000542,DOID:0050927
TBD:0000543,DOID:0050928
TBD:0000544,DOID:0050929
TBD:0000545,DOID:0050930
TBD:0000546,DOID:0050931
TBD:0000547,DOID:0050933
TBD:0000548,DOID:0050934
TBD:0000549,DOID:0050935
TBD:0000550,DOID:0050936
TBD:0000551,DOID:0050937
TBD:0000552,DOID:0050938
TBD:0000553,DOID:0050939
TBD:0000554,DOID:0050940
TBD:0000555,DOID:0050949
TBD:0000556,DOID:0050950
TBD:0000557,DOID:0050951
TBD:0000558,DOID:0050952
TBD:0000559,DOID:0050953
TBD:0000560,DOID:0050957
TBD:0000561,DOID:0050966
TBD:0000562,DOID:0050987
TBD:0000563,DOID:0050988
TBD:0000564,DOID:0050997
TBD:0000565,DOID:0060000
TBD:0000566,DOID:0060001
TBD:0000567,DOID:0060002
TBD:0000568,DOID:0060004
TBD:0000569,DOID:0060005
TBD:0000570,DOID:0060006
TBD:0000571,DOID:0060007
TBD:0000572,DOID:0060011
TBD:0000573,DOID:0060012
TBD:0000574,DOID:0060014
TBD:0000575,DOID:0060015
TBD:0000576,DOID:0060016
TBD:0000577,DOID:0060017
TBD:0000578,DOID:0060018
TBD:0000579,DOID:0060019
TBD:0000580,DOID:0060022
TBD:0000581,DOID:0060024
TBD:0000582,DOID:0060025
TBD:0000583,DOID:0060026
TBD:0000584,DOID:0060027
TBD:0000585,DOID:0060028
TBD:0000586,DOID:0060029
TBD:0000587,DOID:0060030
TBD:0000588,DOID:0060031
TBD:0000589,DOID:0060032
TBD:0000590,DOID:0060033
TBD:0000591,DOID:0060036
TBD:0000592,DOID:0060038
TBD:0000593,DOID:0060039
TBD:0000594,DOID:0060040
TBD:0000595,DOID:0060043
TBD:0000596,DOID:0060044
TBD:0000597,DOID:0060045
TBD:0000598,DOID:0060046
TBD:0000599,DOID:0060047
TBD:0000600,DOID:0060048
TBD:0000601,DOID:0060049
TBD:0000602,DOID:0060050
TBD:0000603,DOID:0060051
TBD:0000604,DOID:0060054
TBD:0000605,DOID:0060056
TBD:0000606,DOID:0060057
TBD:0000607,DOID:0060061
TBD:0000608,DOID:0060062
TBD:0000609,DOID:0060064
TBD:0000610,DOID:0060068
TBD:0000611,DOID:0060071
TBD:0000612,DOID:0060073
TBD:0000613,DOID:0060075
TBD:0000614,DOID:0060076
TBD:0000615,DOID:0060077
TBD:0000616,DOID:0060078
TBD:0000617,DOID:0060079
TBD:0000618,DOID:0060080
TBD:0000619,DOID:0060081
TBD:0000620,DOID:0060082
TBD:0000621,DOID:0060083
TBD:0000622,DOID:0060084
TBD:0000623,DOID:0060085
TBD:0000624,DOID:0060086
TBD:0000625,DOID:0060087
TBD:0000626,DOID:0060088
TBD:0000627,DOID:0060089
TBD:0000628,DOID:0060090
TBD:0000629,DOID:0060091
TBD:0000630,DOID:0060092
TBD:0000631,DOID:0060094
TBD:0000632,DOID:0060095
TBD:0000633,DOID:0060096
TBD:0000634,DOID:0060097
TBD:0000635,DOID:0060098
TBD:0000636,DOID:0060099
TBD:0000637,DOID:0060100
TBD:0000638,DOID:0060101
TBD:0000639,DOID:0060102
TBD:0000640,DOID:0060103
TBD:0000641,DOID:0060104
TBD:0000642,DOID:0060106
TBD:0000643,DOID:0060109
TBD:0000644,DOID:0060110
TBD:0000645,DOID:0060111
TBD:0000646,DOID:0060112
TBD:0000647,DOID:0060114
TBD:0000648,DOID:0060115
TBD:0000649,DOID:0060116
TBD:0000650,DOID:0060117
TBD:0000651,DOID:0060118
TBD:0000652,DOID:0060121
TBD:0000653,DOID:0060122
TBD:0000654,DOID:0060123
TBD:0000655,DOID:0060125
TBD:0000656,DOID:0060126
TBD:0000657,DOID:0060127
TBD:0000658,DOID:0060128
TBD:0000659,DOID:0060129
TBD:0000660,DOID:0060130
TBD:0000661,DOID:0060131
TBD:0000662,DOID:0060132
TBD:0000663,DOID:0060133
TBD:0000664,DOID:0060134
TBD:0000665,DOID:0060135
TBD:0000666,DOID:0060136
TBD:0000667,DOID:0060137
TBD:0000668,DOID:0060138
TBD:0000669,DOID:0060139
TBD:0000670,DOID:0060140
TBD:0000671,DOID:0060141
TBD:0000672,DOID:0060142
TBD:0000673,DOID:0060143
TBD:0000674,DOID:0060144
TBD:0000675,DOID:0060145
TBD:0000676,DOID:0060146
TBD:0000677,DOID:0060147
TBD:0000678,DOID:0060148
TBD:0000679,DOID:0060149
TBD:0000680,DOID:0060150
TBD:0000681,DOID:0060151
TBD:0000682,DOID:0060152
