mondo_id	subset	subset_source	impact
MONDO:0015339	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	137
MONDO:0010188	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	659
MONDO:0019772	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	34
MONDO:0002610	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	216
MONDO:0021747	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	43
MONDO:0002913	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	108
MONDO:0017324	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	935
MONDO:0008504	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1086
MONDO:0021718	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	21
MONDO:0045050	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	148
MONDO:0018715	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	44
MONDO:0013675	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	50
MONDO:0042981	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	39
MONDO:0005499	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	683
MONDO:0000771	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	653
MONDO:0044793	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	245
MONDO:0021637	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2959
MONDO:0016707	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	104
MONDO:0000812	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	45
MONDO:0009166	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	65
MONDO:0000845	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	413
MONDO:0025193	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	265
MONDO:0018096	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1490
MONDO:0002907	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	72
MONDO:0002321	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	84
MONDO:0008061	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	9714
MONDO:0023370	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	224
MONDO:0017851	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	352
MONDO:0019172	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1833
MONDO:0019453	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	77
MONDO:0000481	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	94
MONDO:0015375	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	176
MONDO:0007813	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	185
MONDO:0012019	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	126
MONDO:0008292	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	35
MONDO:0021345	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	107
MONDO:0019280	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	170
MONDO:0008380	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	7827
MONDO:0010589	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	3836
MONDO:0044970	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	4258
MONDO:0021106	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	935
MONDO:0018866	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	696
MONDO:0008145	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	305
MONDO:0014005	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	76
MONDO:0007244	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	457
MONDO:0002412	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1768
MONDO:0003019	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	10
MONDO:0021944	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	296
MONDO:0020341	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2410
MONDO:0007077	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	1940
MONDO:0010579	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	494
MONDO:0021020	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	415
MONDO:0002380	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	408
MONDO:0007215	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	356
MONDO:0011540	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	497
MONDO:0017624	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	98
MONDO:0010731	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	303
MONDO:0024615	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	249
MONDO:0008003	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	267
MONDO:0016058	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	39
MONDO:0011629	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	438
MONDO:0000631	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	49
MONDO:0013233	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	159
MONDO:0007254	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	117887
MONDO:0016241	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	495
MONDO:0016033	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	3214
MONDO:0017919	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	757
MONDO:0009717	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2128
MONDO:0016158	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	261
MONDO:0009179	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	705
MONDO:0002627	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	52
MONDO:0015364	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	273
MONDO:0011449	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	488
