x	p	y
MONDO:0012689	RO:0004020	http://identifiers.org/hgnc/22448
MONDO:0005044	RO:0004022	HP:0000822
MONDO:0020592	RO:0004026	UBERON:0001042
MONDO:0010017	RO:0004029	MONDO:0005509
MONDO:0010351	RO:0004020	http://identifiers.org/hgnc/3583
MONDO:0007698	RO:0004020	http://identifiers.org/hgnc/5102
MONDO:0001209	RO:0004028	NCBITaxon:169495
MONDO:0022872	RO:0004026	UBERON:0002336
MONDO:0016767	RO:0002573	MONDO:0021136
MONDO:0008484	RO:0004020	http://identifiers.org/hgnc/7866
MONDO:0006005	RO:0004028	NCBITaxon:11036
MONDO:0016251	RO:0002573	MONDO:0021136
MONDO:0005914	RO:0004028	NCBITaxon:12058
MONDO:0012615	RO:0004020	http://identifiers.org/hgnc/30242
MONDO:0016182	RO:0004020	PR:000013016
MONDO:0001857	RO:0004029	HP:0001824
MONDO:0001118	RO:0004028	NCBITaxon:787
MONDO:0018181	RO:0004029	HP:0010783
MONDO:0012245	RO:0004020	http://identifiers.org/hgnc/19954
MONDO:0010286	RO:0004020	http://identifiers.org/hgnc/20672
MONDO:0009294	RO:0004020	http://identifiers.org/hgnc/9725
MONDO:0008192	RO:0004020	http://identifiers.org/hgnc/10683
MONDO:0017094	RO:0004029	MONDO:0100035
MONDO:0014118	RO:0004020	http://identifiers.org/hgnc/14579
MONDO:0013761	RO:0004020	http://identifiers.org/hgnc/17358
MONDO:0004114	RO:0002573	MONDO:0021136
MONDO:0012693	RO:0004026	UBERON:0000948
MONDO:0011342	RO:0004020	http://identifiers.org/hgnc/11021
MONDO:0020427	RO:0002573	MONDO:0021128
MONDO:0012662	RO:0004020	http://identifiers.org/hgnc/16361
MONDO:0024625	RO:0004026	UBERON:0001817
MONDO:0013546	RO:0004020	http://identifiers.org/hgnc/26050
MONDO:0014821	RO:0004020	http://identifiers.org/hgnc/26887
MONDO:0010979	RO:0004029	HP:0001663
MONDO:0002052	RO:0004027	UBERON:0000029
MONDO:0010225	RO:0004020	http://identifiers.org/hgnc/2023
MONDO:0010602	RO:0004020	http://identifiers.org/hgnc/3546
MONDO:0015459	RO:0004030	UBERON:0001951
MONDO:0018628	RO:0004029	MONDO:0004992
