?source	?entity	?property	?xrefs
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007510>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004253|GARD:0002056"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007648>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0010900|GARD:0010334"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007879>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0003192|GARD:0003194"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0007931>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000182|GARD:0010301"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008045>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0003044|GARD:0003875"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008152>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0013042|GARD:0003818"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008219>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0007355|GARD:0004270"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008272>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001616|GARD:0009903"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008346>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0006763|GARD:0007645"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008546>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0009295|GARD:0004889"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008563>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004375|GARD:0005200"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008592>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005252|GARD:0007799"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008641>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0010535|GARD:0001217|GARD:0002558"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008650>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002276|GARD:0005487"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008681>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001732|GARD:0005528"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008704>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002988|GARD:0000463"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008713>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005723|GARD:0006343"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008728>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0012665|GARD:0005757"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008747>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004039|GARD:0009641"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0008771>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0009860|GARD:0000646"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009008>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004166|GARD:0002612"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009041>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000817|GARD:0001599"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009109>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001853|GARD:0003335"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009114>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0006183|GARD:0007710"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009151>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001045|GARD:0000375"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009268>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002445|GARD:0012504"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009290>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005714|GARD:0002503"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009312>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004280|GARD:0012604"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009380>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002793|GARD:0006289"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009383>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002791|GARD:0003304"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009411>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0008466|GARD:0005558"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009414>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002889|GARD:0002513"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009476>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000140|GARD:0006799"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009591>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004545|GARD:0003230"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009609>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0003577|GARD:0002733"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009626>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000815|GARD:0012426"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009634>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000357|GARD:0003657"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009655>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0007071|GARD:0002649"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009675>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0003845|GARD:0001057"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009680>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000835|GARD:0003842"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009796>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0007272|GARD:0006556"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009810>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004299|GARD:0004144"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0009869>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004354|GARD:0004347"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010006>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002521|GARD:0007604"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010104>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005027|GARD:0005127"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010109>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005146|GARD:0003348"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010148>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005234|GARD:0003793"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010154>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005277|GARD:0005126"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010164>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0009212|GARD:0005124"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010168>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0005436|GARD:0005435"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010237>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004377|GARD:0002765"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010337>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0009947|GARD:0013093"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010561>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0006123|GARD:0008589"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010576>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001694|GARD:0004504"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010713>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0009913|GARD:0004513"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0010831>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000215|GARD:0004751"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0011052>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000388|GARD:0000641"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0011142>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0008486|GARD:0000545"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0011150>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0004276|GARD:0004498"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0011236>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002818|GARD:0009930"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0011359>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002393|GARD:0005539"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0011527>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0009203|GARD:0006170"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0012221>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0000116|GARD:0003903"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0012391>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002163|GARD:0004010"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0012435>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0012964|GARD:0010344"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0013099>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0010602|GARD:0002252"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0013325>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0012348|GARD:0001173"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0013424>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0003750|GARD:0000037"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0013869>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0010666|GARD:0000546"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0015193>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0002301|GARD:0002783"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0015241>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0003150|GARD:0000783"
"GARD"	<http://purl.obolibrary.org/obo/MONDO_0015457>	<http://www.geneontology.org/formats/oboInOwl#hasDbXref>	"GARD:0001536|GARD:0000852"
