icd	icd_label	depth	n_children	bucket	ambiguous_conjunction	n_existing_xrefs	existing_predicates	existing_mondo	match_tier	match_mondo	match_mondo_label	match_via	match_icd_form	n_match_cands	hp_hit
ICD10CM:Q22.5	Ebstein's anomaly	4	0	DISEASE		1	equivalentTo	MONDO:0009144	A	MONDO:0009144	Ebstein's anomaly	EXACT	Ebstein's anomaly	1	HP:0010316
ICD10CM:Q22.6	Hypoplastic right heart syndrome	4	0	DISEASE		1	equivalentTo	MONDO:0020291	A	MONDO:0020291	hypoplastic right heart syndrome	name	Hypoplastic right heart syndrome	1	HP:0010954
ICD10CM:Q22.8	Other congenital malformations of tricuspid valve	4	0	RESIDUAL		8	narrowerThanSource;orphanet-btnt;provenance-only:orphanet	MONDO:0007001;MONDO:0019814;MONDO:0019815;MONDO:0020289;MONDO:0020396	B	MONDO:0000471	tricuspid valve disorder	name	Other congenital malformations of tricuspid valve	1	
ICD10CM:Q22.9	Congenital malformation of tricuspid valve, unspecified	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0020289	B	MONDO:0000471	tricuspid valve disorder	name	Congenital malformation of tricuspid valve, unspecified	1	
ICD10CM:Q23	Congenital malformations of aortic and mitral valves	3	7	CONTAINER		1	equivalentTo	MONDO:0019817	-					0	
ICD10CM:Q23.0	Congenital stenosis of aortic valve	4	0	DISEASE		4	orphanet-exact;provenance-only:doid;provenance-only:orphanet	MONDO:0015097;MONDO:0017735;MONDO:0019808;MONDO:0042981	B	MONDO:0017735	congenital aortic valve stenosis	name	Congenital stenosis of aortic valve	2	
ICD10CM:Q23.1	Congenital insufficiency of aortic valve	4	0	DISEASE		1	equivalentTo	MONDO:0019809	A	MONDO:0019809	congenital insufficiency of aortic valve	EXACT	Congenital insufficiency of aortic valve	2	
ICD10CM:Q23.2	Congenital mitral stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0020398	A	MONDO:0020398	congenital mitral stenosis	name	Congenital mitral stenosis	2	HP:0001718;HP:0011570
ICD10CM:Q23.3	Congenital mitral insufficiency	4	0	DISEASE		1	equivalentTo	MONDO:0001298	A	MONDO:0001298	congenital mitral insufficiency	EXACT	Congenital mitral insufficiency	2	HP:0001653
ICD10CM:Q23.4	Hypoplastic left heart syndrome	4	0	DISEASE		1	equivalentTo	MONDO:0004933	A	MONDO:0004933	hypoplastic left heart syndrome	name	Hypoplastic left heart syndrome	1	
ICD10CM:Q23.8	Other congenital malformations of aortic and mitral valves	4	3	RESIDUAL		6	provenance-only:orphanet	MONDO:0010574;MONDO:0015109;MONDO:0019819;MONDO:0020402;MONDO:0020404	-					0	
ICD10CM:Q23.81	Bicuspid aortic valve	5	0	PHENOTYPE		0			-					0	HP:0001647
ICD10CM:Q23.82	Congenital mitral valve cleft leaflet	5	0	DISEASE		0			-					0	
ICD10CM:Q23.88	Other congenital malformations of aortic and mitral valves	5	0	RESIDUAL		0			-					0	
ICD10CM:Q23.9	Congenital malformation of aortic and mitral valves, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q24	Other congenital malformations of heart	3	9	RESIDUAL		0			B	MONDO:0005267	heart disorder	name	Other congenital malformations of heart	3	
ICD10CM:Q24.0	Dextrocardia	4	0	DISEASE		1	equivalentTo	MONDO:0015661	A	MONDO:0015661	dextrocardia	name	Dextrocardia	1	HP:0001651
ICD10CM:Q24.1	Levocardia	4	0	DISEASE		1	equivalentTo	MONDO:0019862	A	MONDO:0019862	levocardia	name	Levocardia	1	
ICD10CM:Q24.2	Cor triatriatum	4	0	DISEASE		1	equivalentTo	MONDO:0015450	A	MONDO:0015450	Cor Triatriatum	EXACT	Cor triatriatum	1	HP:0010774
ICD10CM:Q24.3	Pulmonary infundibular stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0006935	A	MONDO:0006935	pulmonary infundibular stenosis	EXACT	Pulmonary infundibular stenosis	1	
ICD10CM:Q24.4	Congenital subaortic stenosis	4	0	PHENOTYPE		4	orphanet-exact;provenance-only:orphanet	MONDO:0017727;MONDO:0020393;MONDO:0020394	-					0	HP:0001682
ICD10CM:Q24.5	Malformation of coronary vessels	4	0	DISEASE		14	narrowerThanSource;orphanet-exact;provenance-only:orphanet	MONDO:0015203;MONDO:0016081;MONDO:0019825;MONDO:0020421;MONDO:0020422	A	MONDO:0006714	coronary aneurysm	name	Congenital coronary (artery) aneurysm	2	
ICD10CM:Q24.6	Congenital heart block	4	0	DISEASE		1	equivalentTo	MONDO:0009326	A	MONDO:0009326	congenital heart block	name	Congenital heart block	1	HP:0012722
ICD10CM:Q24.8	Other specified congenital malformations of heart	4	0	RESIDUAL		14	narrowerThanSource;provenance-only:doid;provenance-only:orphanet	MONDO:0007152;MONDO:0010753;MONDO:0015449;MONDO:0015677;MONDO:0016515	B	MONDO:0000474	pericardium disorder	name	Congenital malformation of pericardium	6	
ICD10CM:Q24.9	Congenital malformation of heart, unspecified	4	0	RESIDUAL		1	provenance-only:doid	MONDO:0005453	B	MONDO:0005267	heart disorder	name	Congenital malformation of heart, unspecified	3	
ICD10CM:Q25	Congenital malformations of great arteries	3	10	CONTAINER		0			B	MONDO:0020292	congenital anomaly of the great arteries	name	Congenital malformations of great arteries	1	
ICD10CM:Q25.0	Patent ductus arteriosus	4	0	DISEASE		1	equivalentTo	MONDO:0011827	A	MONDO:0011827	patent ductus arteriosus	name	Patent ductus arteriosus	1	HP:0001643
ICD10CM:Q25.1	Coarctation of aorta	4	0	PHENOTYPE		1	equivalentTo	MONDO:0007345	B	MONDO:0007345	aorta coarctation	name	Coarctation of aorta	1	HP:0001680
ICD10CM:Q25.2	Atresia of aorta	4	2	DISEASE		1	equivalentTo	MONDO:0001863	B	MONDO:0001863	aorta atresia	name	Atresia of aorta	1	
ICD10CM:Q25.21	Interruption of aortic arch	5	0	DISEASE		1	equivalentTo	MONDO:0009010	B	MONDO:0009010	aortic arch interruption	name	Interruption of aortic arch	1	
ICD10CM:Q25.29	Other atresia of aorta	5	0	RESIDUAL		0			B	MONDO:0001863	aorta atresia	name	Other atresia of aorta	1	
ICD10CM:Q25.3	Supravalvular aortic stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0008504	A	MONDO:0008504	supravalvular aortic stenosis	name	Supravalvular aortic stenosis	1	HP:0004381
ICD10CM:Q25.4	Other congenital malformations of aorta	4	10	RESIDUAL		12	provenance-only:orphanet	MONDO:0009010;MONDO:0015197;MONDO:0015236;MONDO:0017991;MONDO:0019821	B	MONDO:0005561	aorta disease	EXACT	Other congenital malformations of aorta	1	
ICD10CM:Q25.40	Congenital malformation of aorta unspecified	5	0	RESIDUAL		0			B	MONDO:0005561	aorta disease	EXACT	Congenital malformation of aorta unspecified	1	
ICD10CM:Q25.41	Absence and aplasia of aorta	5	0	DISEASE		0			-					0	
ICD10CM:Q25.42	Hypoplasia of aorta	5	0	DISEASE		0			-					0	
ICD10CM:Q25.43	Congenital aneurysm of aorta	5	0	DISEASE		0			-					0	
ICD10CM:Q25.44	Congenital dilation of aorta	5	0	DISEASE		0			-					0	
ICD10CM:Q25.45	Double aortic arch	5	0	PHENOTYPE		0			-					0	HP:0011590
ICD10CM:Q25.46	Tortuous aortic arch	5	0	DISEASE		0			-					0	
ICD10CM:Q25.47	Right aortic arch	5	0	DISEASE		1	equivalentTo	MONDO:0020417	A	MONDO:0020417	right aortic arch	name	Right aortic arch	1	HP:0012020
ICD10CM:Q25.48	Anomalous origin of subclavian artery	5	0	DISEASE		0			-					0	
ICD10CM:Q25.49	Other congenital malformations of aorta	5	0	RESIDUAL		0			B	MONDO:0015236	aortic arch defects	name	Aortic arch	2	
ICD10CM:Q25.5	Atresia of pulmonary artery	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0008343	-					0	
ICD10CM:Q25.6	Stenosis of pulmonary artery	4	0	DISEASE		2	orphanet-exact	MONDO:0017870;MONDO:0020420	A	MONDO:0017870	supravalvular pulmonary stenosis	name	Supravalvular pulmonary stenosis	1	
ICD10CM:Q25.7	Other congenital malformations of pulmonary artery	4	3	RESIDUAL		6	provenance-only:orphanet	MONDO:0015239;MONDO:0020007;MONDO:0020390;MONDO:0020391;MONDO:0020419	B	MONDO:0851102	pulmonary artery disease	name	Other congenital malformations of pulmonary artery	1	
ICD10CM:Q25.71	Coarctation of pulmonary artery	5	0	DISEASE		0			-					0	
ICD10CM:Q25.72	Congenital pulmonary arteriovenous malformation	5	0	PHENOTYPE		0			-					0	HP:0006548
ICD10CM:Q25.79	Other congenital malformations of pulmonary artery	5	0	RESIDUAL		0			B	MONDO:0020419	pulmonary artery hypoplasia	name	Hypoplasia of pulmonary artery	3	
ICD10CM:Q25.8	Other congenital malformations of other great arteries	4	0	RESIDUAL		2	provenance-only:orphanet	MONDO:0019823;MONDO:0020412	B	MONDO:0020292	congenital anomaly of the great arteries	name	Other congenital malformations of other great arteries	1	
ICD10CM:Q25.9	Congenital malformation of great arteries, unspecified	4	0	RESIDUAL		0			B	MONDO:0020292	congenital anomaly of the great arteries	name	Congenital malformation of great arteries, unspecified	1	
ICD10CM:Q26	Congenital malformations of great veins	3	9	CONTAINER		0			-					0	
ICD10CM:Q26.0	Congenital stenosis of vena cava	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0020451	-					0	
ICD10CM:Q26.1	Persistent left superior vena cava	4	0	PHENOTYPE		2	provenance-only:orphanet	MONDO:0020440;MONDO:0020442	-					0	HP:0005301
ICD10CM:Q26.2	Total anomalous pulmonary venous connection	4	0	PHENOTYPE		2	orphanet-btnt;orphanet-exact	MONDO:0007130;MONDO:0017705	-					0	HP:0005160
ICD10CM:Q26.3	Partial anomalous pulmonary venous connection	4	0	DISEASE		1	equivalentTo	MONDO:0020453	A	MONDO:0020453	Partial anomalous pulmonary Venous connection	EXACT	Partial anomalous pulmonary venous connection	1	HP:0010773
ICD10CM:Q26.4	Anomalous pulmonary venous connection, unspecified	4	0	RESIDUAL		1	orphanet-btnt	MONDO:0017705	-					0	
ICD10CM:Q26.5	Anomalous portal venous connection	4	0	DISEASE		0			-					0	
ICD10CM:Q26.6	Portal vein-hepatic artery fistula	4	0	DISEASE		0			-					0	
ICD10CM:Q26.8	Other congenital malformations of great veins	4	0	RESIDUAL		11	provenance-only:doid;provenance-only:orphanet	MONDO:0007130;MONDO:0015987;MONDO:0019836;MONDO:0020441;MONDO:0020443	B	MONDO:0015987	scimitar syndrome	name	Scimitar syndrome	2	
ICD10CM:Q26.9	Congenital malformation of great vein, unspecified	4	0	RESIDUAL		2	provenance-only:orphanet	MONDO:0019829;MONDO:0019830	-					0	
ICD10CM:Q27	Other congenital malformations of peripheral vascular system	3	7	RESIDUAL		0			-					0	
ICD10CM:Q27.0	Congenital absence and hypoplasia of umbilical artery	4	0	DISEASE		0			-					0	
ICD10CM:Q27.1	Congenital renal artery stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0019993	A	MONDO:0019993	congenital renal artery stenosis	name	Congenital renal artery stenosis	1	HP:0001920
ICD10CM:Q27.2	Other congenital malformations of renal artery	4	0	RESIDUAL		0			B	MONDO:0002286	renal artery disease	name	Other congenital malformations of renal artery	1	
ICD10CM:Q27.3	Arteriovenous malformation (peripheral)	4	6	PHENOTYPE		8	orphanet-exact;provenance-only:orphanet	MONDO:0012016;MONDO:0015400;MONDO:0015401;MONDO:0015402;MONDO:0015500	-					0	HP:0100026
ICD10CM:Q27.30	Arteriovenous malformation, site unspecified	5	0	RESIDUAL		0			-					0	
ICD10CM:Q27.31	Arteriovenous malformation of vessel of upper limb	5	0	DISEASE		0			-					0	
ICD10CM:Q27.32	Arteriovenous malformation of vessel of lower limb	5	0	DISEASE		0			-					0	
ICD10CM:Q27.33	Arteriovenous malformation of digestive system vessel	5	0	DISEASE		0			-					0	
ICD10CM:Q27.34	Arteriovenous malformation of renal vessel	5	0	DISEASE		0			-					0	
ICD10CM:Q27.39	Arteriovenous malformation, other site	5	0	DISEASE		0			-					0	
ICD10CM:Q27.4	Congenital phlebectasia	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0016311	-					0	
ICD10CM:Q27.8	Other specified congenital malformations of peripheral vascular system	4	0	RESIDUAL		4	provenance-only:orphanet	MONDO:0007203;MONDO:0007672;MONDO:0010842	A	MONDO:0008638	varix	EXACT	Congenital varix	1	
ICD10CM:Q27.9	Congenital malformation of peripheral vascular system, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q28	Other congenital malformations of circulatory system	3	6	RESIDUAL		0			-					0	
ICD10CM:Q28.0	Arteriovenous malformation of precerebral vessels	4	0	DISEASE		0			-					0	
ICD10CM:Q28.1	Other malformations of precerebral vessels	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0020048	-					0	
ICD10CM:Q28.2	Arteriovenous malformation of cerebral vessels	4	0	DISEASE		6	provenance-only:orphanet	MONDO:0007154;MONDO:0015196;MONDO:0015405;MONDO:0015406;MONDO:0015407	B	MONDO:0007154	arteriovenous malformations of the brain	name	Arteriovenous malformation of brain NOS	1	
ICD10CM:Q28.3	Other malformations of cerebral vessels	4	0	RESIDUAL		4	provenance-only:doid;provenance-only:orphanet	MONDO:0011304;MONDO:0011305;MONDO:0019972;MONDO:0031037	-					0	
ICD10CM:Q28.8	Other specified congenital malformations of circulatory system	4	0	RESIDUAL		3	provenance-only:orphanet	MONDO:0011676;MONDO:0015296;MONDO:0018870	-					0	
ICD10CM:Q28.9	Congenital malformation of circulatory system, unspecified	4	0	RESIDUAL		0			-					0	
ICD10CM:Q30	Congenital malformations of nose	3	6	CONTAINER		0			B	MONDO:0002436	disease of nose	EXACT	Congenital malformations of nose	1	
ICD10CM:Q30-Q34	Congenital malformations of the respiratory system (Q30-Q34)	2	5	BLOCK		1	provenance-only:other	MONDO:0005087	B	MONDO:0005087	respiratory system disorder	name	Congenital malformations of the respiratory system (Q30-Q34)	1	
ICD10CM:Q30.0	Choanal atresia	4	0	DISEASE		1	equivalentTo	MONDO:0012155	A	MONDO:0012155	choanal atresia	name	Choanal atresia	1	HP:0000453
ICD10CM:Q30.1	Agenesis and underdevelopment of nose	4	0	DISEASE		2	orphanet-btnt;provenance-only:orphanet	MONDO:0015237	-					0	
ICD10CM:Q30.2	Fissured, notched and cleft nose	4	0	CONTAINER		2	orphanet-btnt;provenance-only:orphanet	MONDO:0000110	-					0	
ICD10CM:Q30.3	Congenital perforated nasal septum	4	0	DISEASE		1	orphanet-btnt		-					0	
ICD10CM:Q30.8	Other congenital malformations of nose	4	0	RESIDUAL		8	orphanet-btnt;provenance-only:orphanet	MONDO:0007398;MONDO:0015388;MONDO:0015389;MONDO:0015390;MONDO:0015568	B	MONDO:0002436	disease of nose	EXACT	Other congenital malformations of nose	1	
ICD10CM:Q30.9	Congenital malformation of nose, unspecified	4	0	RESIDUAL		1	orphanet-btnt		B	MONDO:0002436	disease of nose	EXACT	Congenital malformation of nose, unspecified	1	
ICD10CM:Q31	Congenital malformations of larynx	3	7	CONTAINER		0			B	MONDO:0004382	disease of larynx	EXACT	Congenital malformations of larynx	1	
ICD10CM:Q31.0	Web of larynx	4	0	DISEASE		2	orphanet-btnt;orphanet-specific	MONDO:0007880	-					0	
ICD10CM:Q31.1	Congenital subglottic stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0015395	A	MONDO:0015395	congenital subglottic stenosis	name	Congenital subglottic stenosis	1	HP:0001607
ICD10CM:Q31.2	Laryngeal hypoplasia	4	0	PHENOTYPE		0			-					0	HP:0008749
ICD10CM:Q31.3	Laryngocele	4	0	DISEASE		1	equivalentTo	MONDO:0016530	A	MONDO:0016530	laryngocele	name	Laryngocele	1	
ICD10CM:Q31.5	Congenital laryngomalacia	4	0	DISEASE		1	equivalentTo	MONDO:0007878	A	MONDO:0007878	congenital laryngomalacia	name	Congenital laryngomalacia	1	HP:0001601
ICD10CM:Q31.8	Other congenital malformations of larynx	4	0	RESIDUAL		3	orphanet-btnt;provenance-only:orphanet	MONDO:0007879;MONDO:0015396	B	MONDO:0007879	larynx atresia	name	Atresia of larynx	3	
ICD10CM:Q31.9	Congenital malformation of larynx, unspecified	4	0	RESIDUAL		1	orphanet-btnt		B	MONDO:0004382	disease of larynx	EXACT	Congenital malformation of larynx, unspecified	1	
ICD10CM:Q32	Congenital malformations of trachea and bronchus	3	5	CONTAINER		0			-					0	
ICD10CM:Q32.0	Congenital tracheomalacia	4	0	DISEASE		1	orphanet-specific	MONDO:0019804	A	MONDO:0019804	congenital tracheomalacia	name	Congenital tracheomalacia	1	HP:0002779
ICD10CM:Q32.1	Other congenital malformations of trachea	4	0	RESIDUAL		8	provenance-only:orphanet	MONDO:0011340;MONDO:0016060;MONDO:0017220;MONDO:0018058;MONDO:0019761	B	MONDO:0002567	disease of trachea	EXACT	Other congenital malformations of trachea	1	
ICD10CM:Q32.2	Congenital bronchomalacia	4	0	PHENOTYPE		0			-					0	HP:0002780
ICD10CM:Q32.3	Congenital stenosis of bronchus	4	0	DISEASE		0			-					0	
ICD10CM:Q32.4	Other congenital malformations of bronchus	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0016080	B	MONDO:0001358	bronchus disease	EXACT	Other congenital malformations of bronchus	1	
ICD10CM:Q33	Congenital malformations of lung	3	9	CONTAINER		0			B	MONDO:0005275	lung disorder	name	Congenital malformations of lung	1	
ICD10CM:Q33.0	Congenital cystic lung	4	0	DISEASE		6	provenance-only:orphanet	MONDO:0016580;MONDO:0017248;MONDO:0017249;MONDO:0017250;MONDO:0017251	B	MONDO:0009060	cystic disease of lung	name	Congenital cystic lung	2	
ICD10CM:Q33.1	Accessory lobe of lung	4	0	DISEASE		0			-					0	
ICD10CM:Q33.2	Sequestration of lung	4	0	DISEASE		4	orphanet-exact;provenance-only:orphanet	MONDO:0017245;MONDO:0017246;MONDO:0017247;MONDO:0017843	A	MONDO:0017843	congenital sequestration of lung	EXACT	Sequestration of lung	1	
ICD10CM:Q33.3	Agenesis of lung	4	0	DISEASE		1	equivalentTo	MONDO:0020110	A	MONDO:0020110	congenital absence of lung	EXACT	Congenital absence of lung (lobe)	1	
ICD10CM:Q33.4	Congenital bronchiectasis	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0008888	A	MONDO:0004822	bronchiectasis	name	Congenital bronchiectasis	1	HP:0002110
ICD10CM:Q33.5	Ectopic tissue in lung	4	0	DISEASE		0			-					0	
ICD10CM:Q33.6	Congenital hypoplasia and dysplasia of lung	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0009936	-					0	
ICD10CM:Q33.8	Other congenital malformations of lung	4	0	RESIDUAL		2	provenance-only:orphanet	MONDO:0007536;MONDO:0009933	B	MONDO:0005275	lung disorder	name	Other congenital malformations of lung	1	
ICD10CM:Q33.9	Congenital malformation of lung, unspecified	4	0	RESIDUAL		0			B	MONDO:0005275	lung disorder	name	Congenital malformation of lung, unspecified	1	
ICD10CM:Q34	Other congenital malformations of respiratory system	3	4	RESIDUAL		0			B	MONDO:0005087	respiratory system disorder	name	Other congenital malformations of respiratory system	1	
ICD10CM:Q34.0	Anomaly of pleura	4	0	DISEASE		0			B	MONDO:0002037	disease of pleura	EXACT	Anomaly of pleura	1	
ICD10CM:Q34.1	Congenital cyst of mediastinum	4	0	DISEASE		0			-					0	
ICD10CM:Q34.8	Other specified congenital malformations of respiratory system	4	0	RESIDUAL		33	provenance-only:doid;provenance-only:orphanet	MONDO:0009484;MONDO:0011718;MONDO:0012085;MONDO:0012087;MONDO:0012088	B	MONDO:0005087	respiratory system disorder	name	Other specified congenital malformations of respiratory system	1	
ICD10CM:Q34.9	Congenital malformation of respiratory system, unspecified	4	0	RESIDUAL		0			B	MONDO:0005087	respiratory system disorder	name	Congenital malformation of respiratory system, unspecified	1	
ICD10CM:Q35	Cleft palate	3	5	DISEASE		1	equivalentTo	MONDO:0016064	A	MONDO:0016064	cleft palate	name	Cleft palate	1	HP:0000175
ICD10CM:Q35-Q37	Cleft lip and cleft palate (Q35-Q37)	2	3	BLOCK		1	equivalentTo	MONDO:0016044	B	MONDO:0016044	cleft lip/palate	name	Cleft lip and cleft palate (Q35-Q37)	1	
ICD10CM:Q35.1	Cleft hard palate	4	0	DISEASE		1	equivalentTo	MONDO:0015092	A	MONDO:0015092	cleft hard palate	name	Cleft hard palate	1	HP:0410005
ICD10CM:Q35.3	Cleft soft palate	4	0	DISEASE		1	equivalentTo	MONDO:0007338	A	MONDO:0007338	cleft soft palate	name	Cleft soft palate	1	HP:0000185
ICD10CM:Q35.5	Cleft hard palate with cleft soft palate	4	0	DISEASE		2	orphanet-btnt;provenance-only:doid	MONDO:0007336;MONDO:0016064	B	MONDO:0971092	soft and hard cleft palate	name	Cleft hard palate with cleft soft palate	1	
ICD10CM:Q35.7	Cleft uvula	4	0	PHENOTYPE		3	orphanet-btnt;orphanet-exact;provenance-only:doid	MONDO:0007336;MONDO:0008637;MONDO:0016064	-					0	HP:0000193
ICD10CM:Q35.9	Cleft palate, unspecified	4	0	RESIDUAL		4	orphanet-btnt;provenance-only:doid;provenance-only:orphanet	MONDO:0007336;MONDO:0010560;MONDO:0015479;MONDO:0016064	A	MONDO:0016064	cleft palate	name	Cleft palate, unspecified	1	HP:0000175
ICD10CM:Q36	Cleft lip	3	3	DISEASE		1	equivalentTo	MONDO:0004747	A	MONDO:0004747	cleft lip	name	Cleft lip	1	HP:0410030
ICD10CM:Q36.0	Cleft lip, bilateral	4	0	LATERALITY		3	orphanet-btnt	MONDO:0015420;MONDO:0016043	-					0	
ICD10CM:Q36.1	Cleft lip, median	4	0	DISEASE		5	orphanet-btnt;provenance-only:orphanet	MONDO:0014388;MONDO:0015420;MONDO:0016043;MONDO:0016062	-					0	
ICD10CM:Q36.9	Cleft lip, unilateral	4	0	LATERALITY		4	orphanet-btnt;provenance-only:doid	MONDO:0004747;MONDO:0015420;MONDO:0016043	A	MONDO:0004747	cleft lip	name	Cleft lip NOS	1	
ICD10CM:Q37	Cleft palate with cleft lip	3	8	DISEASE		0			B	MONDO:0016044	cleft lip/palate	name	Cleft palate with cleft lip	1	
ICD10CM:Q37.0	Cleft hard palate with bilateral cleft lip	4	0	LATERALITY		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.1	Cleft hard palate with unilateral cleft lip	4	0	LATERALITY		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.2	Cleft soft palate with bilateral cleft lip	4	0	LATERALITY		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.3	Cleft soft palate with unilateral cleft lip	4	0	LATERALITY		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.4	Cleft hard and soft palate with bilateral cleft lip	4	0	LATERALITY		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.5	Cleft hard and soft palate with unilateral cleft lip	4	0	LATERALITY		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.8	Unspecified cleft palate with bilateral cleft lip	4	0	RESIDUAL		2	orphanet-btnt	MONDO:0016044	-					0	
ICD10CM:Q37.9	Unspecified cleft palate with unilateral cleft lip	4	0	RESIDUAL		2	orphanet-btnt	MONDO:0016044	B	MONDO:0016044	cleft lip/palate	name	Cleft palate with cleft lip NOS	1	
ICD10CM:Q38	Other congenital malformations of tongue, mouth and pharynx	3	9	RESIDUAL		0			-					0	
ICD10CM:Q38-Q45	Other congenital malformations of the digestive system (Q38-Q45)	2	8	BLOCK		1	provenance-only:other		B	MONDO:0004335	digestive system disorder	name	Other congenital malformations of the digestive system (Q38-Q45)	1	
ICD10CM:Q38.0	Congenital malformations of lips, not elsewhere classified	4	0	CONTAINER		3	provenance-only:orphanet	MONDO:0015381;MONDO:0015382;MONDO:0019508	B	MONDO:0004748	lip disorder	name	Congenital malformations of lips, not elsewhere classified	1	
ICD10CM:Q38.1	Ankyloglossia	4	0	DISEASE		1	equivalentTo	MONDO:0007125	A	MONDO:0007125	ankyloglossia	name	Ankyloglossia	1	HP:0010296
ICD10CM:Q38.2	Macroglossia	4	0	DISEASE		2	orphanet-specific;provenance-only:orphanet	MONDO:0007927;MONDO:0015496	A	MONDO:0007927	congenital macroglossia	name	Macroglossia	2	HP:0000158
ICD10CM:Q38.3	Other congenital malformations of tongue	4	0	RESIDUAL		6	narrowerThanSource;provenance-only:orphanet	MONDO:0013003;MONDO:0015384;MONDO:0015399;MONDO:0035410;MONDO:0035411	B	MONDO:0001165	tongue disorder	name	Other congenital malformations of tongue	2	
ICD10CM:Q38.4	Congenital malformations of salivary glands and ducts	4	0	CONTAINER		1	provenance-only:orphanet	MONDO:0008397	-					0	
ICD10CM:Q38.5	Congenital malformations of palate, not elsewhere classified	4	0	CONTAINER		0			-					0	
ICD10CM:Q38.6	Other congenital malformations of mouth	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0015748	B	MONDO:0006858	mouth disorder	name	Other congenital malformations of mouth	1	
ICD10CM:Q38.7	Congenital pharyngeal pouch	4	0	DISEASE		0			-					0	
ICD10CM:Q38.8	Other congenital malformations of pharynx	4	0	RESIDUAL		0			B	MONDO:0020592	disorder of pharynx	name	Other congenital malformations of pharynx	1	
ICD10CM:Q39	Congenital malformations of esophagus	3	9	CONTAINER		0			B	MONDO:0003749	disease of esophagus	EXACT	Congenital malformations of esophagus	1	
ICD10CM:Q39.0	Atresia of esophagus without fistula	4	0	DISEASE		2	orphanet-exact;provenance-only:doid	MONDO:0001044;MONDO:0008586	A	MONDO:0001044	congenital atresia of esophagus	EXACT	Atresia of esophagus NOS	1	
ICD10CM:Q39.1	Atresia of esophagus with tracheo-esophageal fistula	4	0	DISEASE		1	orphanet-exact	MONDO:0008586	-					0	
ICD10CM:Q39.2	Congenital tracheo-esophageal fistula without atresia	4	0	DISEASE		1	orphanet-exact	MONDO:0018694	A	MONDO:0018694	tracheo-esophageal fistula	EXACT	Congenital tracheo-esophageal fistula NOS	1	
ICD10CM:Q39.3	Congenital stenosis and stricture of esophagus	4	0	DISEASE		0			-					0	
ICD10CM:Q39.4	Esophageal web	4	0	PHENOTYPE		0			-					0	HP:0100594
ICD10CM:Q39.5	Congenital dilatation of esophagus	4	0	DISEASE		1	provenance-only:orphanet	MONDO:0008699	A	MONDO:0008698	cardiospasm	EXACT	Congenital cardiospasm	1	
ICD10CM:Q39.6	Congenital diverticulum of esophagus	4	0	DISEASE		1	equivalentTo	MONDO:0019620	A	MONDO:0019620	congenital esophageal pouch	EXACT	Congenital esophageal pouch	1	
ICD10CM:Q39.8	Other congenital malformations of esophagus	4	0	RESIDUAL		3	provenance-only:orphanet	MONDO:0015050;MONDO:0015051	B	MONDO:0003749	disease of esophagus	EXACT	Other congenital malformations of esophagus	1	
ICD10CM:Q39.9	Congenital malformation of esophagus, unspecified	4	0	RESIDUAL		0			B	MONDO:0003749	disease of esophagus	EXACT	Congenital malformation of esophagus, unspecified	1	
ICD10CM:Q40	Other congenital malformations of upper alimentary tract	3	6	RESIDUAL		0			-					0	
ICD10CM:Q40.0	Congenital hypertrophic pyloric stenosis	4	0	DISEASE		1	equivalentTo	MONDO:0001560	A	MONDO:0001560	hypertrophic pyloric stenosis	name	Congenital hypertrophic pyloric stenosis	1	
ICD10CM:Q40.1	Congenital hiatus hernia	4	0	DISEASE		1	equivalentTo	MONDO:0001562	A	MONDO:0007721	hiatus hernia	name	Congenital hiatus hernia	2	HP:0002036
ICD10CM:Q40.2	Other specified congenital malformations of stomach	4	0	RESIDUAL		1	provenance-only:orphanet	MONDO:0016041	B	MONDO:0004298	stomach disorder	name	Other specified congenital malformations of stomach	2	
ICD10CM:Q40.3	Congenital malformation of stomach, unspecified	4	0	RESIDUAL		0			B	MONDO:0004298	stomach disorder	name	Congenital malformation of stomach, unspecified	1	
