icd	icd_label	bucket	hp_equivalent	currently_xreffed
ICD10CM:Q30.9	Congenital malformation of nose, unspecified	RESIDUAL		YES
ICD10CM:Q31.8	Other congenital malformations of larynx	RESIDUAL		YES
ICD10CM:Q31.9	Congenital malformation of larynx, unspecified	RESIDUAL		YES
ICD10CM:Q32.1	Other congenital malformations of trachea	RESIDUAL		YES
ICD10CM:Q32.4	Other congenital malformations of bronchus	RESIDUAL		YES
ICD10CM:Q33.8	Other congenital malformations of lung	RESIDUAL		YES
ICD10CM:Q33.9	Congenital malformation of lung, unspecified	RESIDUAL		
ICD10CM:Q34	Other congenital malformations of respiratory system	RESIDUAL		
ICD10CM:Q34.8	Other specified congenital malformations of respiratory system	RESIDUAL		YES
ICD10CM:Q34.9	Congenital malformation of respiratory system, unspecified	RESIDUAL		
ICD10CM:Q35.9	Cleft palate, unspecified	RESIDUAL	HP:0000175	YES
ICD10CM:Q37.8	Unspecified cleft palate with bilateral cleft lip	RESIDUAL		YES
ICD10CM:Q37.9	Unspecified cleft palate with unilateral cleft lip	RESIDUAL		YES
ICD10CM:Q38	Other congenital malformations of tongue, mouth and pharynx	RESIDUAL		
ICD10CM:Q38.3	Other congenital malformations of tongue	RESIDUAL		YES
ICD10CM:Q38.6	Other congenital malformations of mouth	RESIDUAL		YES
ICD10CM:Q38.8	Other congenital malformations of pharynx	RESIDUAL		
ICD10CM:Q39.8	Other congenital malformations of esophagus	RESIDUAL		YES
ICD10CM:Q39.9	Congenital malformation of esophagus, unspecified	RESIDUAL		
ICD10CM:Q40	Other congenital malformations of upper alimentary tract	RESIDUAL		
ICD10CM:Q40.2	Other specified congenital malformations of stomach	RESIDUAL		YES
ICD10CM:Q40.3	Congenital malformation of stomach, unspecified	RESIDUAL		
ICD10CM:Q40.8	Other specified congenital malformations of upper alimentary tract	RESIDUAL		
ICD10CM:Q40.9	Congenital malformation of upper alimentary tract, unspecified	RESIDUAL		
ICD10CM:Q41.8	Congenital absence, atresia and stenosis of other specified parts of small intestine	RESIDUAL		YES
ICD10CM:Q41.9	Congenital absence, atresia and stenosis of small intestine, part unspecified	RESIDUAL		YES
ICD10CM:Q42.9	Congenital absence, atresia and stenosis of large intestine, part unspecified	RESIDUAL		YES
ICD10CM:Q43	Other congenital malformations of intestine	RESIDUAL		
ICD10CM:Q43.2	Other congenital functional disorders of colon	RESIDUAL		
ICD10CM:Q43.8	Other specified congenital malformations of intestine	RESIDUAL		YES
ICD10CM:Q43.9	Congenital malformation of intestine, unspecified	RESIDUAL		
ICD10CM:Q44.1	Other congenital malformations of gallbladder	RESIDUAL		
ICD10CM:Q44.5	Other congenital malformations of bile ducts	RESIDUAL		
ICD10CM:Q44.7	Other congenital malformations of liver	RESIDUAL		YES
ICD10CM:Q44.70	Other congenital malformation of liver, unspecified	RESIDUAL		
ICD10CM:Q44.79	Other congenital malformations of liver	RESIDUAL		
ICD10CM:Q45	Other congenital malformations of digestive system	RESIDUAL		
ICD10CM:Q45.3	Other congenital malformations of pancreas and pancreatic duct	RESIDUAL		YES
ICD10CM:Q45.8	Other specified congenital malformations of digestive system	RESIDUAL		YES
ICD10CM:Q45.9	Congenital malformation of digestive system, unspecified	RESIDUAL		
ICD10CM:Q50.3	Other congenital malformations of ovary	RESIDUAL		
ICD10CM:Q50.39	Other congenital malformation of ovary	RESIDUAL		
ICD10CM:Q50.6	Other congenital malformations of fallopian tube and broad ligament	RESIDUAL		
ICD10CM:Q51.2	Other doubling of uterus	RESIDUAL		YES
ICD10CM:Q51.28	Other and unspecified doubling of uterus	RESIDUAL		
ICD10CM:Q51.8	Other congenital malformations of uterus and cervix	RESIDUAL		YES
ICD10CM:Q51.81	Other congenital malformations of uterus	RESIDUAL		
ICD10CM:Q51.818	Other congenital malformations of uterus	RESIDUAL		
ICD10CM:Q51.82	Other congenital malformations of cervix	RESIDUAL		
ICD10CM:Q51.828	Other congenital malformations of cervix	RESIDUAL		
ICD10CM:Q51.9	Congenital malformation of uterus and cervix, unspecified	RESIDUAL		
ICD10CM:Q52	Other congenital malformations of female genitalia	RESIDUAL		
ICD10CM:Q52.10	Doubling of vagina, unspecified	RESIDUAL		
ICD10CM:Q52.129	Other and unspecified longitudinal vaginal septum	RESIDUAL		
ICD10CM:Q52.4	Other congenital malformations of vagina	RESIDUAL		
ICD10CM:Q52.7	Other and unspecified congenital malformations of vulva	RESIDUAL		
ICD10CM:Q52.70	Unspecified congenital malformations of vulva	RESIDUAL		
ICD10CM:Q52.79	Other congenital malformations of vulva	RESIDUAL		
ICD10CM:Q52.8	Other specified congenital malformations of female genitalia	RESIDUAL		
ICD10CM:Q52.9	Congenital malformation of female genitalia, unspecified	RESIDUAL		
ICD10CM:Q53.00	Ectopic testis, unspecified	RESIDUAL	HP:6000460	
ICD10CM:Q53.10	Unspecified undescended testicle, unilateral	RESIDUAL		
ICD10CM:Q53.20	Undescended testicle, unspecified, bilateral	RESIDUAL		
ICD10CM:Q53.9	Undescended testicle, unspecified	RESIDUAL		YES
ICD10CM:Q54.8	Other hypospadias	RESIDUAL		YES
ICD10CM:Q54.9	Hypospadias, unspecified	RESIDUAL	HP:0000047	YES
ICD10CM:Q55	Other congenital malformations of male genital organs	RESIDUAL		
ICD10CM:Q55.2	Other and unspecified congenital malformations of testis and scrotum	RESIDUAL		
ICD10CM:Q55.20	Unspecified congenital malformations of testis and scrotum	RESIDUAL		
ICD10CM:Q55.29	Other congenital malformations of testis and scrotum	RESIDUAL		
ICD10CM:Q55.4	Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate	RESIDUAL		YES
ICD10CM:Q55.6	Other congenital malformations of penis	RESIDUAL		YES
ICD10CM:Q55.69	Other congenital malformation of penis	RESIDUAL		
ICD10CM:Q55.8	Other specified congenital malformations of male genital organs	RESIDUAL		YES
ICD10CM:Q55.9	Congenital malformation of male genital organ, unspecified	RESIDUAL		
ICD10CM:Q56.3	Pseudohermaphroditism, unspecified	RESIDUAL		YES
ICD10CM:Q56.4	Indeterminate sex, unspecified	RESIDUAL		
ICD10CM:Q60	Renal agenesis and other reduction defects of kidney	RESIDUAL		
ICD10CM:Q60.2	Renal agenesis, unspecified	RESIDUAL	HP:0000104	YES
ICD10CM:Q60.5	Renal hypoplasia, unspecified	RESIDUAL	HP:0000089	YES
ICD10CM:Q61.00	Congenital renal cyst, unspecified	RESIDUAL	HP:0000107	
ICD10CM:Q61.19	Other polycystic kidney, infantile type	RESIDUAL		
ICD10CM:Q61.3	Polycystic kidney, unspecified	RESIDUAL	HP:0000113	YES
ICD10CM:Q61.8	Other cystic kidney diseases	RESIDUAL		
ICD10CM:Q61.9	Cystic kidney disease, unspecified	RESIDUAL		YES
ICD10CM:Q62.10	Congenital occlusion of ureter, unspecified	RESIDUAL		
ICD10CM:Q62.3	Other obstructive defects of renal pelvis and ureter	RESIDUAL		
ICD10CM:Q62.39	Other obstructive defects of renal pelvis and ureter	RESIDUAL		
ICD10CM:Q62.60	Malposition of ureter, unspecified	RESIDUAL		
ICD10CM:Q62.69	Other malposition of ureter	RESIDUAL		
ICD10CM:Q62.8	Other congenital malformations of ureter	RESIDUAL		
ICD10CM:Q63	Other congenital malformations of kidney	RESIDUAL		
ICD10CM:Q63.8	Other specified congenital malformations of kidney	RESIDUAL		YES
ICD10CM:Q63.9	Congenital malformation of kidney, unspecified	RESIDUAL		
ICD10CM:Q64	Other congenital malformations of urinary system	RESIDUAL		
ICD10CM:Q64.10	Exstrophy of urinary bladder, unspecified	RESIDUAL		
ICD10CM:Q64.19	Other exstrophy of urinary bladder	RESIDUAL		
ICD10CM:Q64.3	Other atresia and stenosis of urethra and bladder neck	RESIDUAL		YES
ICD10CM:Q64.39	Other atresia and stenosis of urethra and bladder neck	RESIDUAL		
ICD10CM:Q64.7	Other and unspecified congenital malformations of bladder and urethra	RESIDUAL		YES
ICD10CM:Q64.70	Unspecified congenital malformation of bladder and urethra	RESIDUAL		
ICD10CM:Q64.79	Other congenital malformations of bladder and urethra	RESIDUAL		
ICD10CM:Q64.8	Other specified congenital malformations of urinary system	RESIDUAL		
ICD10CM:Q64.9	Congenital malformation of urinary system, unspecified	RESIDUAL		
ICD10CM:Q65.00	Congenital dislocation of unspecified hip, unilateral	RESIDUAL		
ICD10CM:Q65.2	Congenital dislocation of hip, unspecified	RESIDUAL	HP:0002827	
ICD10CM:Q65.30	Congenital partial dislocation of unspecified hip, unilateral	RESIDUAL		
ICD10CM:Q65.5	Congenital partial dislocation of hip, unspecified	RESIDUAL		
ICD10CM:Q65.8	Other congenital deformities of hip	RESIDUAL		YES
ICD10CM:Q65.89	Other specified congenital deformities of hip	RESIDUAL		
ICD10CM:Q65.9	Congenital deformity of hip, unspecified	RESIDUAL		
ICD10CM:Q66.00	Congenital talipes equinovarus, unspecified foot	RESIDUAL		
ICD10CM:Q66.10	Congenital talipes calcaneovarus, unspecified foot	RESIDUAL		
ICD10CM:Q66.219	Congenital metatarsus primus varus, unspecified foot	RESIDUAL		
ICD10CM:Q66.229	Congenital metatarsus adductus, unspecified foot	RESIDUAL		
ICD10CM:Q66.3	Other congenital varus deformities of feet	RESIDUAL		
ICD10CM:Q66.30	Other congenital varus deformities of feet, unspecified foot	RESIDUAL		
ICD10CM:Q66.31	Other congenital varus deformities of feet, right foot	RESIDUAL		
ICD10CM:Q66.32	Other congenital varus deformities of feet, left foot	RESIDUAL		
ICD10CM:Q66.40	Congenital talipes calcaneovalgus, unspecified foot	RESIDUAL		
ICD10CM:Q66.50	Congenital pes planus, unspecified foot	RESIDUAL		
ICD10CM:Q66.6	Other congenital valgus deformities of feet	RESIDUAL		
ICD10CM:Q66.70	Congenital pes cavus, unspecified foot	RESIDUAL		
ICD10CM:Q66.8	Other congenital deformities of feet	RESIDUAL		YES
ICD10CM:Q66.80	Congenital vertical talus deformity, unspecified foot	RESIDUAL		
ICD10CM:Q66.89	Other specified congenital deformities of feet	RESIDUAL		YES
ICD10CM:Q66.9	Congenital deformity of feet, unspecified	RESIDUAL		
ICD10CM:Q66.90	Congenital deformity of feet, unspecified, unspecified foot	RESIDUAL		
ICD10CM:Q66.91	Congenital deformity of feet, unspecified, right foot	RESIDUAL		
ICD10CM:Q66.92	Congenital deformity of feet, unspecified, left foot	RESIDUAL		
ICD10CM:Q67.4	Other congenital deformities of skull, face and jaw	RESIDUAL		YES
ICD10CM:Q67.8	Other congenital deformities of chest	RESIDUAL		
ICD10CM:Q68	Other congenital musculoskeletal deformities	RESIDUAL		
ICD10CM:Q68.5	Congenital bowing of long bones of leg, unspecified	RESIDUAL		YES
ICD10CM:Q68.8	Other specified congenital musculoskeletal deformities	RESIDUAL		YES
ICD10CM:Q69.9	Polydactyly, unspecified	RESIDUAL	HP:0010442	YES
ICD10CM:Q70.00	Fused fingers, unspecified hand	RESIDUAL		
ICD10CM:Q70.10	Webbed fingers, unspecified hand	RESIDUAL		
ICD10CM:Q70.20	Fused toes, unspecified foot	RESIDUAL		
ICD10CM:Q70.30	Webbed toes, unspecified foot	RESIDUAL		
ICD10CM:Q70.4	Polysyndactyly, unspecified	RESIDUAL		YES
ICD10CM:Q70.9	Syndactyly, unspecified	RESIDUAL	HP:0001159	YES
ICD10CM:Q71.00	Congenital complete absence of unspecified upper limb	RESIDUAL		
ICD10CM:Q71.10	Congenital absence of unspecified upper arm and forearm with hand present	RESIDUAL		
ICD10CM:Q71.20	Congenital absence of both forearm and hand, unspecified upper limb	RESIDUAL		
ICD10CM:Q71.30	Congenital absence of unspecified hand and finger	RESIDUAL		
ICD10CM:Q71.40	Longitudinal reduction defect of unspecified radius	RESIDUAL		
ICD10CM:Q71.50	Longitudinal reduction defect of unspecified ulna	RESIDUAL		
ICD10CM:Q71.60	Lobster-claw hand, unspecified hand	RESIDUAL		
ICD10CM:Q71.8	Other reduction defects of upper limb	RESIDUAL		YES
ICD10CM:Q71.819	Congenital shortening of unspecified upper limb	RESIDUAL		
ICD10CM:Q71.89	Other reduction defects of upper limb	RESIDUAL		
ICD10CM:Q71.891	Other reduction defects of right upper limb	RESIDUAL		
ICD10CM:Q71.892	Other reduction defects of left upper limb	RESIDUAL		
ICD10CM:Q71.893	Other reduction defects of upper limb, bilateral	RESIDUAL		
ICD10CM:Q71.899	Other reduction defects of unspecified upper limb	RESIDUAL		
ICD10CM:Q71.9	Unspecified reduction defect of upper limb	RESIDUAL		YES
ICD10CM:Q71.90	Unspecified reduction defect of unspecified upper limb	RESIDUAL		
ICD10CM:Q71.91	Unspecified reduction defect of right upper limb	RESIDUAL		
ICD10CM:Q71.92	Unspecified reduction defect of left upper limb	RESIDUAL		
ICD10CM:Q71.93	Unspecified reduction defect of upper limb, bilateral	RESIDUAL		
ICD10CM:Q72.00	Congenital complete absence of unspecified lower limb	RESIDUAL		
ICD10CM:Q72.10	Congenital absence of unspecified thigh and lower leg with foot present	RESIDUAL		
ICD10CM:Q72.20	Congenital absence of both lower leg and foot, unspecified lower limb	RESIDUAL		
ICD10CM:Q72.30	Congenital absence of unspecified foot and toe(s)	RESIDUAL		
ICD10CM:Q72.40	Longitudinal reduction defect of unspecified femur	RESIDUAL		
ICD10CM:Q72.50	Longitudinal reduction defect of unspecified tibia	RESIDUAL		
ICD10CM:Q72.60	Longitudinal reduction defect of unspecified fibula	RESIDUAL		
ICD10CM:Q72.70	Split foot, unspecified lower limb	RESIDUAL		
ICD10CM:Q72.8	Other reduction defects of lower limb	RESIDUAL		YES
ICD10CM:Q72.819	Congenital shortening of unspecified lower limb	RESIDUAL		
ICD10CM:Q72.89	Other reduction defects of lower limb	RESIDUAL		
ICD10CM:Q72.891	Other reduction defects of right lower limb	RESIDUAL		
ICD10CM:Q72.892	Other reduction defects of left lower limb	RESIDUAL		
ICD10CM:Q72.893	Other reduction defects of lower limb, bilateral	RESIDUAL		
ICD10CM:Q72.899	Other reduction defects of unspecified lower limb	RESIDUAL		
ICD10CM:Q72.9	Unspecified reduction defect of lower limb	RESIDUAL		YES
ICD10CM:Q72.90	Unspecified reduction defect of unspecified lower limb	RESIDUAL		
ICD10CM:Q72.91	Unspecified reduction defect of right lower limb	RESIDUAL		
ICD10CM:Q72.92	Unspecified reduction defect of left lower limb	RESIDUAL		
ICD10CM:Q72.93	Unspecified reduction defect of lower limb, bilateral	RESIDUAL		
ICD10CM:Q73	Reduction defects of unspecified limb	RESIDUAL		
ICD10CM:Q73.0	Congenital absence of unspecified limb(s)	RESIDUAL		YES
ICD10CM:Q73.1	Phocomelia, unspecified limb(s)	RESIDUAL		YES
ICD10CM:Q73.8	Other reduction defects of unspecified limb(s)	RESIDUAL		YES
ICD10CM:Q74	Other congenital malformations of limb(s)	RESIDUAL		
ICD10CM:Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle	RESIDUAL		YES
ICD10CM:Q74.2	Other congenital malformations of lower limb(s), including pelvic girdle	RESIDUAL		YES
ICD10CM:Q74.8	Other specified congenital malformations of limb(s)	RESIDUAL		YES
ICD10CM:Q74.9	Unspecified congenital malformation of limb(s)	RESIDUAL		
ICD10CM:Q75	Other congenital malformations of skull and face bones	RESIDUAL		
ICD10CM:Q75.00	Craniosynostosis unspecified	RESIDUAL	HP:0001363	
ICD10CM:Q75.001	Craniosynostosis unspecified, unilateral	RESIDUAL		
ICD10CM:Q75.002	Craniosynostosis unspecified, bilateral	RESIDUAL		
ICD10CM:Q75.009	Craniosynostosis unspecified	RESIDUAL	HP:0001363	
ICD10CM:Q75.029	Coronal craniosynostosis unspecified	RESIDUAL	HP:0004440	
ICD10CM:Q75.049	Lambdoid craniosynostosis, unspecified	RESIDUAL		
ICD10CM:Q75.058	Other multi-suture craniosynostosis	RESIDUAL		
ICD10CM:Q75.08	Other single-suture craniosynostosis	RESIDUAL		
ICD10CM:Q75.8	Other specified congenital malformations of skull and face bones	RESIDUAL		YES
ICD10CM:Q75.9	Congenital malformation of skull and face bones, unspecified	RESIDUAL		
ICD10CM:Q76.4	Other congenital malformations of spine, not associated with scoliosis	RESIDUAL		YES
ICD10CM:Q76.419	Congenital kyphosis, unspecified region	RESIDUAL		
ICD10CM:Q76.429	Congenital lordosis, unspecified region	RESIDUAL		
ICD10CM:Q76.49	Other congenital malformations of spine, not associated with scoliosis	RESIDUAL		
ICD10CM:Q76.6	Other congenital malformations of ribs	RESIDUAL		
ICD10CM:Q76.8	Other congenital malformations of bony thorax	RESIDUAL		YES
ICD10CM:Q76.9	Congenital malformation of bony thorax, unspecified	RESIDUAL		
ICD10CM:Q77.8	Other osteochondrodysplasia with defects of growth of tubular bones and spine	RESIDUAL		YES
ICD10CM:Q77.9	Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified	RESIDUAL		
ICD10CM:Q78	Other osteochondrodysplasias	RESIDUAL		
ICD10CM:Q78.8	Other specified osteochondrodysplasias	RESIDUAL		YES
ICD10CM:Q78.9	Osteochondrodysplasia, unspecified	RESIDUAL		YES
ICD10CM:Q79.1	Other congenital malformations of diaphragm	RESIDUAL		YES
ICD10CM:Q79.5	Other congenital malformations of abdominal wall	RESIDUAL		
ICD10CM:Q79.59	Other congenital malformations of abdominal wall	RESIDUAL		
ICD10CM:Q79.60	Ehlers-Danlos syndrome, unspecified	RESIDUAL		
ICD10CM:Q79.69	Other Ehlers-Danlos syndromes	RESIDUAL		
ICD10CM:Q79.8	Other congenital malformations of musculoskeletal system	RESIDUAL		YES
ICD10CM:Q79.9	Congenital malformation of musculoskeletal system, unspecified	RESIDUAL		
ICD10CM:Q80.8	Other congenital ichthyosis	RESIDUAL		YES
ICD10CM:Q80.9	Congenital ichthyosis, unspecified	RESIDUAL	HP:0007431;HP:0008064	
ICD10CM:Q81.8	Other epidermolysis bullosa	RESIDUAL		YES
ICD10CM:Q81.9	Epidermolysis bullosa, unspecified	RESIDUAL		YES
ICD10CM:Q82	Other congenital malformations of skin	RESIDUAL		
ICD10CM:Q82.8	Other specified congenital malformations of skin	RESIDUAL		YES
ICD10CM:Q82.9	Congenital malformation of skin, unspecified	RESIDUAL		
ICD10CM:Q83.8	Other congenital malformations of breast	RESIDUAL		
ICD10CM:Q83.9	Congenital malformation of breast, unspecified	RESIDUAL		
ICD10CM:Q84	Other congenital malformations of integument	RESIDUAL		
ICD10CM:Q84.2	Other congenital malformations of hair	RESIDUAL		YES
ICD10CM:Q84.6	Other congenital malformations of nails	RESIDUAL		YES
ICD10CM:Q84.8	Other specified congenital malformations of integument	RESIDUAL		YES
ICD10CM:Q84.9	Congenital malformation of integument, unspecified	RESIDUAL		
ICD10CM:Q85.00	Neurofibromatosis, unspecified	RESIDUAL	HP:0001067	YES
ICD10CM:Q85.09	Other neurofibromatosis	RESIDUAL		
ICD10CM:Q85.8	Other phakomatoses, not elsewhere classified	RESIDUAL		YES
ICD10CM:Q85.82	Other Cowden syndrome	RESIDUAL		
ICD10CM:Q85.89	Other phakomatoses, not elsewhere classified	RESIDUAL		
ICD10CM:Q85.9	Phakomatosis, unspecified	RESIDUAL		YES
ICD10CM:Q86.8	Other congenital malformation syndromes due to known exogenous causes	RESIDUAL		YES
ICD10CM:Q87	Other specified congenital malformation syndromes affecting multiple systems	RESIDUAL		
ICD10CM:Q87.19	Other congenital malformation syndromes predominantly associated with short stature	RESIDUAL		
ICD10CM:Q87.40	Marfan syndrome, unspecified	RESIDUAL		YES
ICD10CM:Q87.5	Other congenital malformation syndromes with other skeletal changes	RESIDUAL		YES
ICD10CM:Q87.8	Other specified congenital malformation syndromes, not elsewhere classified	RESIDUAL		YES
ICD10CM:Q87.89	Other specified congenital malformation syndromes, not elsewhere classified	RESIDUAL		YES
ICD10CM:Q89	Other congenital malformations, not elsewhere classified	RESIDUAL		
ICD10CM:Q89.8	Other specified congenital malformations	RESIDUAL		YES
ICD10CM:Q89.9	Congenital malformation, unspecified	RESIDUAL		
ICD10CM:Q90.9	Down syndrome, unspecified	RESIDUAL		YES
ICD10CM:Q91.3	Trisomy 18, unspecified	RESIDUAL		YES
ICD10CM:Q91.7	Trisomy 13, unspecified	RESIDUAL		YES
ICD10CM:Q92	Other trisomies and partial trisomies of the autosomes, not elsewhere classified	RESIDUAL		
ICD10CM:Q92.8	Other specified trisomies and partial trisomies of autosomes	RESIDUAL		YES
ICD10CM:Q92.9	Trisomy and partial trisomy of autosomes, unspecified	RESIDUAL		
ICD10CM:Q93.5	Other deletions of part of a chromosome	RESIDUAL		YES
ICD10CM:Q93.59	Other deletions of part of a chromosome	RESIDUAL		
ICD10CM:Q93.8	Other deletions from the autosomes	RESIDUAL		YES
ICD10CM:Q93.88	Other microdeletions	RESIDUAL		
ICD10CM:Q93.89	Other deletions from the autosomes	RESIDUAL		
ICD10CM:Q93.9	Deletion from autosomes, unspecified	RESIDUAL		YES
ICD10CM:Q95.8	Other balanced rearrangements and structural markers	RESIDUAL		
ICD10CM:Q95.9	Balanced rearrangement and structural marker, unspecified	RESIDUAL		
ICD10CM:Q96.8	Other variants of Turner's syndrome	RESIDUAL		YES
ICD10CM:Q96.9	Turner's syndrome, unspecified	RESIDUAL		YES
ICD10CM:Q97	Other sex chromosome abnormalities, female phenotype, not elsewhere classified	RESIDUAL		
ICD10CM:Q97.8	Other specified sex chromosome abnormalities, female phenotype	RESIDUAL		
ICD10CM:Q97.9	Sex chromosome abnormality, female phenotype, unspecified	RESIDUAL		
ICD10CM:Q98	Other sex chromosome abnormalities, male phenotype, not elsewhere classified	RESIDUAL		
ICD10CM:Q98.3	Other male with 46, XX karyotype	RESIDUAL		
ICD10CM:Q98.4	Klinefelter syndrome, unspecified	RESIDUAL		YES
ICD10CM:Q98.8	Other specified sex chromosome abnormalities, male phenotype	RESIDUAL		YES
ICD10CM:Q98.9	Sex chromosome abnormality, male phenotype, unspecified	RESIDUAL		
ICD10CM:Q99	Other chromosome abnormalities, not elsewhere classified	RESIDUAL		
ICD10CM:Q99.8	Other specified chromosome abnormalities	RESIDUAL		YES
ICD10CM:Q99.9	Chromosomal abnormality, unspecified	RESIDUAL		
