defined_class	defined_class_label	chromosomal_region	chromosomal_region_label
http://purl.obolibrary.org/obo/MONDO_0016894	partial deletion of the short arm of chromosome 16	http://purl.obolibrary.org/obo/CHR_9606-chr16p	16p (Human)
http://purl.obolibrary.org/obo/MONDO_0016897	partial deletion of the short arm of chromosome 19	http://purl.obolibrary.org/obo/CHR_9606-chr19p	19p (Human)
http://purl.obolibrary.org/obo/MONDO_0016884	partial deletion of the short arm of chromosome 2	http://purl.obolibrary.org/obo/CHR_9606-chr2p	2p (Human)
http://purl.obolibrary.org/obo/MONDO_0016885	partial deletion of the short arm of chromosome 3	http://purl.obolibrary.org/obo/CHR_9606-chr3p	3p (Human)
http://purl.obolibrary.org/obo/MONDO_0016887	partial deletion of the short arm of chromosome 5	http://purl.obolibrary.org/obo/CHR_9606-chr5p	5p (Human)
http://purl.obolibrary.org/obo/MONDO_0016888	partial deletion of the short arm of chromosome 6	http://purl.obolibrary.org/obo/CHR_9606-chr6p	6p (Human)
http://purl.obolibrary.org/obo/MONDO_0016889	partial deletion of the short arm of chromosome 7	http://purl.obolibrary.org/obo/CHR_9606-chr7p	7p (Human)
http://purl.obolibrary.org/obo/MONDO_0016890	partial deletion of the short arm of chromosome 8	http://purl.obolibrary.org/obo/CHR_9606-chr8p	8p (Human)
http://purl.obolibrary.org/obo/MONDO_0016909	partial monosomy of the long arm of chromosome 10	http://purl.obolibrary.org/obo/CHR_9606-chr10q	10q (Human)
http://purl.obolibrary.org/obo/MONDO_0016908	partial monosomy of the long arm of chromosome 9	http://purl.obolibrary.org/obo/CHR_9606-chr9q	9q (Human)
http://purl.obolibrary.org/obo/MONDO_0016898	partial monosomy of the short arm of chromosome 20	http://purl.obolibrary.org/obo/CHR_9606-chr20p	20p (Human)
http://purl.obolibrary.org/obo/MONDO_0017004	partial monosomy of the short arm of chromosome X	http://purl.obolibrary.org/obo/CHR_9606-chrXp	Xp (Human)
